background	greenplant	purpleplant
88,96,74	121,159,99	111,91,76
98,86,89	124,157,96	111,90,71
87,80,93	123,157,85	111,87,76
81,83,82	125,155,95	111,90,80
80,83,70	121,155,98	111,90,84
80,83,76	115,155,92	133,112,97
84,82,75	114,155,87	134,111,96
87,90,67	114,154,85	136,109,98
87,85,63	119,157,80	133,115,103
91,84,82	114,153,79	132,113,109
103,89,86	122,155,85	130,114,113
107,92,86	129,158,94	128,115,110
101,90,88	127,156,104	131,114,101
91,98,82	116,159,97	134,114,102
97,99,83	127,162,99	152,147,112
97,95,79	134,166,99	155,140,115
94,87,76	137,171,97	103,97,77
88,95,83	146,171,99	100,99,73
92,89,93	135,173,69	100,94,69
